X,Y,Codigo,Nome,TipoEstacao,TipoEstacaoCodigo,Operando,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,Bacia,BaciaCodigo,SubBacia,SubBaciaCodigo,Rio,RioCodigo,UF,UFCodigo,Municipio,MunicipioCodigo,Responsavel,ResponsavelSigla,ResponsavelCodigo,ResponsavelUnidade,Operadora,OperadoraSigla,OperadoraCodigo,OperadoraUnidade,OperadoraRoteiro,EscalaNivel,EscalaNivelInicio,EscalaNivelFim,RegistradorNivel,RegistradorNivelInicio,RegistradorNivelFim,MedicaoDescargaLiquida,MedicaoDescargaLiquidaInicio,MedicaoDescargaLiquidaInicioFim,MedicaoDescargaSolida,MedicaoDescargaSolidaInicio,MedicaoDescargaSolidaFim,MedicaoQA,MedicaoQAInicio,MedicaoQAFim,PluviometroConvencional,PluviometroConvencionalInicio,PluviometroConvencionalFim,RegistradorChuva,RegistradorChuvaInicio,RegistradorChuvaFim,TanqueEvaporimetrico,TanqueEvaporimetricoInicio,TanqueEvaporimetricoFim,EstacaoClimatologica,EstacaoClimatologicaInicio,EstacaoClimatologicaFim,EstacaoPiezometria,EstacaoPiezometriaInicio,EstacaoPiezometriaFim,EstacaoTelemetrica,EstacaoTelemetricaInicio,EstacaoTelemetricaFim,RedeBasica,RedeEnergetica,RedeNavegacao,RedeCursoDagua,RedeEstrategica,RedeCaptacao,RedeRHNR,RedeQA,RedeClasseVazao,Descricao,DataAlteracao,Distancia_km
-49.6469999999999,-27.218,2749087,RIO DO SUL_Centro,Pluviométrica,2,Sim,421480501,-27.218,-49.647,338,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,Não,Não,Não,Não,Nulo,Não,Não,Não,TELEMÉTRICA,NA,0.49301079533788683
-49.6335999999999,-27.2075,83094000,RIO DO SUL,Fluviométrica,1,Não,NA,-27.2075,-49.6336,300,5160,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,RIO ITAJAÍ DO OESTE,83100000,SANTA CATARINA,23,RIO DO SUL,23145000,Celesc Geração S.A,CELESC,15,NA,Celesc Geração S.A,CELESC,15,NA,NA,Não,1800/01/01 00:00:00+00,2005/08/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,Sim,Não,Nulo,Não,Nulo,Não,Não,Não,NA,2017/07/12 00:00:00+00,1.2808967130364153
-49.6317,-27.2055999999999,2749039,RIO DO SUL - NOVO,Pluviométrica,2,Sim,ANA,-27.2056,-49.6317,350,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Agência Nacional de Águas,ANA,1,DF,Empresa de Pesquisa Agrícola de Santa Catarina,EPAGRI-SC,94,SC,5,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,1978/12/01 00:00:00+00,NA,Não,1984/03/01 00:00:00+00,1988/12/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,1997/02/01 00:00:00+00,NA,Sim,Não,Não,Não,Sim,Nulo,Não,Não,Não,TELEMÉTRICA - OTT_GOES,2023/06/06 00:00:00+00,1.559898540374645
-49.6292,-27.2078,83300000,RIO DO SUL,Fluviométrica,1,Não,NA,-27.2078,-49.6292,354,2030,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,RIO ITAJAÍ DO SUL,83200000,SANTA CATARINA,23,RIO DO SUL,23145000,Agência Nacional de Águas,ANA,1,DF,Agência Nacional de Águas,ANA,1,NA,NA,Não,1927/11/01 00:00:00+00,1948/11/01 00:00:00+00,Não,NA,NA,Não,1934/12/01 00:00:00+00,1941/10/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,Não,Não,Nulo,Não,Nulo,Não,Não,Sim,NA,2017/07/13 00:00:00+00,1.629790890809606
-49.6292,-27.2078,83300200,RIO DO SUL - NOVO,Fluviométrica,1,Sim,ANA,-27.2078,-49.6292,350,5160,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,RIO ITAJAÍ-AÇU,83001000,SANTA CATARINA,23,RIO DO SUL,23145000,Agência Nacional de Águas,ANA,1,DF,Empresa de Pesquisa Agrícola de Santa Catarina,EPAGRI-SC,94,SC,5,Sim,1978/04/01 00:00:00+00,NA,Não,1978/04/01 00:00:00+00,1997/02/01 00:00:00+00,Sim,1978/02/01 00:00:00+00,NA,Sim,1979/02/01 00:00:00+00,NA,Sim,1977/02/01 00:00:00+00,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,1997/02/01 00:00:00+00,NA,Sim,Não,Sim,Nulo,Sim,Nulo,Sim,Nulo,Sim,TELEMÉTRICA - OTT_GOES,2023/06/06 00:00:00+00,1.629790890809606
-49.627,-27.223,2749092,RIO DO SUL_Santana,Pluviométrica,2,Sim,421480506,-27.223,-49.627,503,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,Não,Não,Não,Não,Nulo,Não,Não,Não,TELEMÉTRICA,NA,1.9058005849832929
-49.6253,-27.2075,83300002,RIO DO SUL,Fluviométrica,1,Não,NA,-27.2075,-49.6253,350,5160,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,RIO ITAJAÍ-AÇU,83001000,SANTA CATARINA,23,RIO DO SUL,23145000,Agência Nacional de Águas,ANA,1,DF,Agência Nacional de Águas,ANA,1,NA,NA,Não,1940/04/01 00:00:00+00,1980/02/01 00:00:00+00,Não,NA,NA,Não,1940/04/01 00:00:00+00,1979/08/01 00:00:00+00,Não,NA,NA,Não,1977/02/01 00:00:00+00,1979/02/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,Não,Não,Nulo,Não,Nulo,Não,Nulo,Não,NA,2018/06/26 00:00:00+00,1.9925253538840217
-49.6167,-27.2166999999999,2749008,RIO DO SUL,Pluviométrica,2,Não,NA,-27.2167,-49.6167,350,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Agência Nacional de Águas,ANA,1,DF,Agência Nacional de Águas,ANA,1,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,1941/01/01 00:00:00+00,1980/02/01 00:00:00+00,Não,1978/12/01 00:00:00+00,1983/01/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,Não,Não,Nulo,Não,Nulo,Não,Não,Não,NA,2010/04/28 00:00:00+00,2.6899341195599202
-49.6167,-27.1999999999999,2749024,RIO DO SUL,Pluviométrica,2,Não,NA,-27.2,-49.6167,330,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Celesc Geração S.A,CELESC,15,NA,Celesc Geração S.A,CELESC,15,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,1944/01/01 00:00:00+00,1990/12/01 00:00:00+00,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,Sim,Não,Nulo,Não,Nulo,Não,Não,Não,NA,2010/04/28 00:00:00+00,3.133349644476961
-49.674,-27.198,2749090,RIO DO SUL_Fundo Canoas,Pluviométrica,2,Sim,421480504,-27.198,-49.674,352,NA,"ATLÂNTICO, TRECHO SUDESTE",8,RIO ITAJAÍ-AÇU,83,NA,0,SANTA CATARINA,23,RIO DO SUL,23145000,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.,CEMADEN,451,SP,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Não,NA,NA,Sim,2014/01/01 00:00:00+00,NA,Não,Não,Não,Não,Não,Nulo,Não,Não,Não,TELEMÉTRICA,NA,3.510945757364652
